id	tweet	label	hashtags
183	RT @TeaPainUSA: POLL: Is Trump responsible for the rhetoric that motivated the #MAGABomber's actions?	anti	MAGABomber
184	RT @keithboykin: The #MAGABomber Cesar Sayoc is literally wearing a #MAGA hat at a Trump rally, and Trump thinks he has nothing to do with…	anti	"MAGABomber	MAGA"
185	RT @LouDobbs: #LDTPoll: Do you agree with President Trump that sending U.S. troops is the only way to secure our border until enough radica…	pro	LDTPoll
186	RT @AnnaBD20: Trump to Rally in North Carolina for Mark Harris  in Key Congressional Toss-Up Race (NC9) #VoteRed #Midterms #JobsNotMobs htt…	pro	"VoteRed	Midterms	JobsNotMobs"
187	RT @Franklin_Graham: Christians need to #PRAY &amp; turn out in record numbers to #VOTE for candidates who wholeheartedly support religious lib…	pro	"PRAY	VOTE"
188	RT @mog7546: BREAKING   #Florida Republican governor’s appointee helped organize #ProudBoys’ #Pelosi protest  #NelsonDiaz, the chairman of…	anti	"Florida	ProudBoys	Pelosi	NelsonDiaz"
189	"RT @Uncle_Jimbo: What did Trump do in 2002 that made #CesarSayoc threaten to blow up Florida Power &amp; Light ""worse than 9/11""? "	pro	CesarSayoc
190	RT @AngryLiberalFem: #FalseFlag the right says democrats planted these to influence the midterm elections.  Funny, my first thought was Tru…	anti	FalseFlag
191	RT @maddogpac: Happy Halloween! Got your Trump #babyballoons yet? Will you get him a costume for the big night? Send us your pix and you ma…	anti	babyballoons
192	RT @ArizonaKayte: Dont go to this bar #Arizona #Trump supporters...they forcibly kicked out a friendbecause she wore a red maga hat.  Check…	pro	"Arizona	Trump"
193	RT @hbpicker1: #FakeBombGate   #FakeStickers  #FakeLiberalCrisis  #VoteRedToSaveAmerica 	pro	"FakeBombGate	FakeStickers	FakeLiberalCrisis	VoteRedToSaveAmerica"
194	RT @Debber66: Does everyone remember when there was a terrorist attack on our embassy in #Benghazi and there was an upcoming election so th…	pro	Benghazi
195	RT @pollsofpolitics: What should @POTUS  @realDonaldTrump do if the #caravan makes it to the Southern border??  Please vote and retweet to…	pro	caravan
196	RT @LouDobbs: #LDTPoll: Do you think President Trump's unparalleled successes and achievements and bold support of Republican candidates wi…	pro	LDTPoll
197	RT @colbertlateshow: Trump is only half 'white nationalist.' #LSSC 	anti	LSSC
198	RT @cassandra17lina: Bowing to the boss #Trump knows #Saudi cash flow will End if he does not   #SaudiArabia #TrumpColluded #KhashoggiMurde…	anti	"Trump	Saudi	SaudiArabia	TrumpColluded	KhashoggiMurde"
199	RT @chuckwoolery: #GERALDO says he now agrees that #Trump has earned the #WALL. Thanks Geraldo now can you convince the #Democrats?	pro	"GERALDO	Trump	WALL	Democrats"
